"Brownie Bites [100mg]",AE-W-0060,12,INDICA,58006,2019-12-27T18:36:09
"Prickly Lemonade Juice Blend (8oz) [100mg]",PS-W-0014,6,,58006,2019-12-27T18:36:09
"Super Mega Brownie [225mg]",AE-W-0046,12,Sativa,58006,2019-12-27T18:36:09
"Brownie Bites [100mg]",AE-W-0060,12,Sativa,58006,2019-12-27T18:36:09
"Chai Tea with Hemp Milk (8oz) [50mg]",,24,,58006,2019-12-27T18:36:09
"Super Mega Brownie [225mg]",AE-W-0046,36,INDICA,58005,2019-12-27T18:00:08
"Medical Fudge Brownie [150mg]",AE-W-0048,12,INDICA,58005,2019-12-27T18:00:08
"Daily Dose Brownie [25mg]",AE-W-0085,24,INDICA,58005,2019-12-27T18:00:08
"Basic Brownie [75mg]",AE-W-0044,24,INDICA,58005,2019-12-27T18:00:08
"Super Mega Brownie [225mg]",AE-W-0046,24,Sativa,58005,2019-12-27T18:00:08
"Daily Dose Brownie [25mg]",AE-W-0085,12,Sativa,58005,2019-12-27T18:00:08
"Basic Brownie [75mg]",AE-W-0044,12,Sativa,58005,2019-12-27T18:00:08
"High CBD Glycerin Tincture (1oz) [400mg]",CH-W-0004,12,,58005,2019-12-27T18:00:08
"High CBD Ointment (2oz) [350mg]",CH-W-0008,12,,58005,2019-12-27T18:00:08
"THC Glycerin Tincture (1oz) [400mg] - Indica",CH-W-0006,6,indica,58005,2019-12-27T18:00:08
"Basic Brownie [75mg] - Indica",AE-W-0044,156,indica,58004,2019-12-27T14:14:19
"Basic Brownie [75mg] - Sativa",AE-W-0044,84,sativa,58004,2019-12-27T14:14:19
"Gluten Free Brownie [100mg]",AE-W-0045,24,,58004,2019-12-27T14:14:19
"Fruity Mellow Rice Treat [75mg]",CC-W-0020,60,,58004,2019-12-27T14:14:19
"Medical Fudge Brownie [150mg]",AE-W-0048,12,INDICA,58003,2019-12-27T14:04:08
"Daily Dose Brownie [25mg]",AE-W-0085,12,INDICA,58003,2019-12-27T14:04:08
"Brownie Bites [100mg]",AE-W-0060,12,INDICA,58003,2019-12-27T14:04:08
"Just Apple Juice (8oz) [100mg]",PS-W-0007,6,,58003,2019-12-27T14:04:08
"Super Mega Brownie [225mg]",AE-W-0046,12,Sativa,58003,2019-12-27T14:04:08
"Daily Dose Brownie [25mg]",AE-W-0085,12,Sativa,58003,2019-12-27T14:04:08
"Brownie Bites [100mg]",AE-W-0060,12,Sativa,58003,2019-12-27T14:04:08
"Chai Tea with Hemp Milk (8oz) [50mg]",,12,,58003,2019-12-27T14:04:08
"420º Hot Sauce (5oz) [200mg]",CB-W-0013,12,,58003,2019-12-27T14:04:08
"High CBD Glycerin Tincture (1oz) [400mg]",CH-W-0004,18,,58002,2019-12-27T11:15:07
"Daily Dose Fruity Mellow Rice Treat [25mg]",CC-W-0043,24,,58002,2019-12-27T11:15:07
"THC vs CBD Flyer",PM-W-0003,25,,58002,2019-12-27T11:15:07
"Rick Simpson Oil Flyer",PM-W-0001,25,,58002,2019-12-27T11:15:07
"Cold Brew Coffee (8oz) [50mg]",PS-W-0019,12,,58002,2019-12-27T11:15:07
"THC Glycerin Tincture (1oz) [400mg] - Sativa",CH-W-0006,6,sativa,58002,2019-12-27T11:15:07
"THC Glycerin Tincture (1oz) [400mg] - Indica",CH-W-0006,6,indica,58002,2019-12-27T11:15:07
"Hemp CBD Ointment (2oz) [350mg CBD]",CH-W-0019-1,12,,58001,2019-12-27T10:56:08
"Hemp CBD Ointment (4 oz) [700mg CBD]",CH-W-0020,6,,58001,2019-12-27T10:56:08
"High CBD Glycerin Tincture (1oz) [400mg]",CH-W-0004,6,,58001,2019-12-27T10:56:08
"High CBD Ointment (2oz) [350mg]",CH-W-0008,24,,58001,2019-12-27T10:56:08
"High CBD Ointment (4oz) [700mg]",CH-W-0007,6,,58001,2019-12-27T10:56:08
