"Daily Dose Fruity Mellow Rice Treat [25mg]",CC-W-0043,12,,58051,2020-01-04T12:44:08
"Fruity Mellow Rice Treat [75mg]",CC-W-0020,12,,58051,2020-01-04T12:44:08
"Hemp CBD Ointment (1/2oz) [80mg]",CH-W-0029,24,,58051,2020-01-04T12:44:08
"High CBD Glycerin Tincture (1oz) [400mg]",CH-W-0004,6,,58051,2020-01-04T12:44:08
"High CBD Ointment (2oz) [350mg]",CH-W-0008,12,,58051,2020-01-04T12:44:08
"High CBD Ointment (4oz) [700mg]",CH-W-0007,12,,58051,2020-01-04T12:44:08
"THC Glycerin Tincture (1oz) [400mg]",CH-W-0006,6,INDICA,58051,2020-01-04T12:44:08
"THC Glycerin Tincture (1/2oz) [200mg]",CH-W-0005,12,INDICA,58051,2020-01-04T12:44:08
"Daily Dose Gummies [2x15mg]",CB-W-0021,36,INDICA,58051,2020-01-04T12:44:08
"Pain Re-leaf Ointment (2oz) [350mg]",CH-W-0011,12,,58051,2020-01-04T12:44:08
"Pain Re-leaf Ointment (4oz) [700mg]",CH-W-0010,6,,58051,2020-01-04T12:44:08
"Rasta Mellow Rice Treat [75mg]",CC-W-0021,12,,58051,2020-01-04T12:44:08
"Daily Dose Gummies [2x15mg]",CB-W-0021,24,Sativa,58051,2020-01-04T12:44:08
"Daily Dose Cocoa Mellow Rice Treat [25mg]",CC-W-0045,48,,58050,2020-01-04T12:36:08
"Daily Dose Fruity Mellow Rice Treat [25mg]",CC-W-0043,48,,58050,2020-01-04T12:36:08
"Daily Dose Rasta Mellow Rice Treat [25mg]",CC-W-0041,48,,58050,2020-01-04T12:36:08
"Daily Dose Gummies [2x15mg]",CB-W-0021,36,INDICA,58050,2020-01-04T12:36:08
"Daily Dose Brownie [25mg]",AE-W-0085,36,INDICA,58050,2020-01-04T12:36:08
"Pain Re-leaf Ointment (4oz) [700mg]",CH-W-0010,6,,58050,2020-01-04T12:36:08
"Daily Dose Gummies [2x15mg]",CB-W-0021,12,Sativa,58050,2020-01-04T12:36:08
"Daily Dose Brownie [25mg]",AE-W-0085,12,Sativa,58050,2020-01-04T12:36:08
"Super Mega Brownie [225mg] - Indica",AE-W-0046,36,indica,58049,2020-01-03T16:31:49
"Super Mega Brownie [225mg] - Sativa",AE-W-0046,24,sativa,58049,2020-01-03T16:31:49
"Daily Dose Brownie [25mg] - Indica",AE-W-0085,24,indica,58049,2020-01-03T16:31:49
"Daily Dose Brownie [25mg] - Sativa",AE-W-0085,12,sativa,58049,2020-01-03T16:31:49
"Basic Brownie [75mg] - Indica",AE-W-0044,24,indica,58049,2020-01-03T16:31:49
"Medical Fudge Brownie [150mg] - Indica",AE-W-0048,24,indica,58049,2020-01-03T16:31:49
"Medical Fudge Brownie [150mg] - Sativa",AE-W-0048,12,sativa,58049,2020-01-03T16:31:49
"High CBD Glycerin Tincture (1oz) [400mg]",CH-W-0004,12,,58049,2020-01-03T16:31:49
"THC Glycerin Tincture (1oz) [400mg] - Indica",CH-W-0006,24,indica,58049,2020-01-03T16:31:49
"Pain Re-leaf Ointment (2oz) [350mg]",CH-W-0011,24,,58049,2020-01-03T16:31:49
"High CBD Ointment (2oz) [350mg]",CH-W-0008,24,,58049,2020-01-03T16:31:49
"Super Mega Brownie [225mg] - Indica",AE-W-0046,12,indica,58048,2020-01-03T11:48:31
"Super Mega Brownie [225mg] - Sativa",AE-W-0046,12,sativa,58048,2020-01-03T11:48:31
"Super Mega Brownie [225mg] - Indica",AE-W-0046,12,indica,58047,2020-01-03T11:43:12
"Super Mega Brownie [225mg] - Sativa",AE-W-0046,12,sativa,58047,2020-01-03T11:43:12
"Hemp CBD Ointment (1/2oz) [80mg]",CH-W-0029,24,,58046,2020-01-03T10:08:16
"Hibiscus Citrus Juice Blend (8oz) [100mg]",PS-W-0009,6,,58046,2020-01-03T10:08:16
"High CBD Glycerin Tincture (1oz) [400mg]",CH-W-0004,6,,58046,2020-01-03T10:08:16
"High CBD Glycerin Tincture (2oz) [800mg]",CH-W-0032,6,,58046,2020-01-03T10:08:16
